Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB,rpsL,rrs_str,gidB,rrs_inj,Peis,gyrA,gyrB,PethA,ethA,rpoA,rpoC,rpoB
2601D,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0721K,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1757L,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0243Q,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2564N,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0710Y,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0
1052V,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1735M,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0
1532R,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
2312P,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1870J,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2348D,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0733Y,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0653L,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
1850M,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2195M,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1509R,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1016F,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0218N,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
2472N,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2180W,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1657C,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0951K,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2039S,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1852P,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0365Y,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
1530P,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0667B,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1769Z,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2079L,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2481Y,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0233E,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0650H,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
2296X,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2243P,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
2492K,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
1049R,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
2209C,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1559W,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0318X,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0
0415C,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0
2486D,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2371D,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1162P,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0839N,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
2133V,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
1690N,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
2216K,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0700M,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0944C,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0
1523G,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
1904W,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
0178V,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0532E,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
