Isolate,katG,PinhA,RRDR,PpncA,pncA,PembA,embB
0358Q,1,0,1,0,1,0,1
1837Y,1,0,1,0,1,0,1
2162B,1,0,1,0,1,0,1
0812J,1,0,1,0,0,0,1
2533E,1,0,1,0,0,0,1
1164R,0,0,0,0,0,0,0
2631L,0,0,0,0,0,0,0
2390Z,0,0,0,0,0,0,0
0269T,0,0,0,0,0,0,0
0567S,0,0,0,0,0,0,0
2493L,0,0,0,0,0,0,0
1617J,0,0,1,0,0,0,0
2396F,0,0,1,0,0,0,0
0439D,0,0,0,0,0,0,0
0888R,0,0,0,0,0,0,0
0728S,1,0,0,0,1,1,0
0596Z,0,0,0,0,0,0,0
0434Y,0,0,0,0,0,0,0
0847X,0,0,1,0,0,0,0
0787G,0,0,0,0,0,0,0
2251Y,0,0,0,0,0,0,0
1192X,0,0,0,0,0,0,0
0113Z,0,0,0,0,0,0,0
2642Y,1,0,0,0,0,0,0
1660F,0,0,0,0,0,0,0
1324Q,0,0,0,0,0,0,0
0981S,0,0,0,0,0,0,0
0377L,1,0,1,0,0,0,0
2187D,0,0,0,0,0,0,0
0996J,0,0,0,0,0,0,0
2291R,0,0,0,0,0,0,0
2185B,0,0,1,0,0,0,0
2634P,1,0,0,0,0,0,0
0159Z,0,0,0,0,0,0,0
0430T,0,0,0,0,0,0,0
0128Q,0,0,0,0,0,0,0
1503K,0,0,0,0,0,0,0
1607Y,0,0,0,0,0,0,0
0176S,0,0,0,0,0,0,0
1887C,0,0,0,0,0,0,0
1816A,0,0,0,0,0,0,0
1942M,0,0,0,0,0,0,0
2466G,0,0,0,0,0,0,0
1102Z,0,0,0,0,0,0,0
2177S,0,0,0,0,0,0,0
1900R,0,0,0,0,0,0,0
0890T,0,0,0,0,0,0,0
0131T,0,0,0,0,0,0,0
2502W,0,0,0,0,0,0,0
1084E,0,0,0,0,0,0,0
0659S,0,0,0,0,0,0,0
0788H,0,0,0,0,0,0,0
2440D,1,0,0,0,0,0,0
2343Y,1,0,0,0,0,0,0
0024C,0,0,0,0,0,0,0
2626F,0,0,0,0,0,0,0
0765H,0,0,0,0,0,0,0
0746M,0,0,0,0,0,0,0
2248V,0,0,0,0,0,0,0
0016T,0,0,0,0,0,0,0
0123K,0,0,0,0,0,0,0
0524W,0,0,0,0,0,0,0
2083Q,0,0,0,0,0,0,0
1187R,0,0,0,0,0,0,0
1188S,0,0,0,0,0,0,0
0646D,0,0,0,0,0,0,0
1067L,0,0,0,0,0,0,0
1472B,0,0,0,0,0,0,0
0139C,0,0,0,0,0,0,0
0174Q,0,0,0,0,0,0,0
0028G,0,0,0,0,0,0,0
1592G,0,0,0,0,0,0,0
0305H,0,0,0,0,0,0,0
1879T,0,0,0,0,0,0,0
0262L,0,0,0,0,0,0,0
0782B,0,0,0,0,0,0,0
0939X,0,0,0,0,0,0,0
1613E,0,0,0,0,0,0,0
1334B,0,0,0,0,0,0,0
1695T,0,0,0,0,0,0,0
0109V,0,0,0,0,0,0,0
0479X,0,0,0,0,0,0,0
2182Y,0,0,0,0,0,0,0
2201T,0,0,0,0,0,0,0
2357N,0,0,0,0,0,0,0
2358P,0,0,0,0,0,0,0
2069A,0,0,0,0,0,0,0
0533F,0,0,0,0,0,0,0
0281G,0,0,0,0,0,0,0
0280F,1,0,0,0,0,0,0
1086G,0,0,0,0,0,0,0
2247T,0,0,0,0,0,0,0
1182L,0,0,0,0,0,0,0
0702P,1,0,0,0,0,0,0
0691C,0,0,0,0,0,0,0
1774E,0,0,0,0,0,0,0
0399K,0,0,0,0,0,0,0
0268S,0,0,0,0,0,0,0
2333M,0,1,0,0,0,0,0
2236G,1,0,1,0,0,0,0
0990C,0,0,0,0,0,0,0
0925G,0,0,0,0,0,0,0
2298Z,0,0,0,0,0,0,0
0154T,0,0,0,0,0,0,0
1540A,0,0,0,0,0,0,0
2178T,0,0,0,0,0,0,0
1780L,0,0,0,0,0,0,0
0992E,0,0,0,0,0,0,0
0544S,0,0,0,0,0,0,0
1024P,0,0,0,0,0,0,0
0418F,0,0,0,0,0,0,0
1079Z,0,0,0,0,0,0,0
1538Y,0,0,0,0,0,0,0
0221R,0,0,0,0,0,0,0
0137A,0,0,0,0,0,0,0
0822V,0,0,0,0,0,0,0
1470Z,0,0,0,0,0,0,0
0958S,0,0,0,0,0,0,0
2540M,0,0,0,0,0,0,0
0327G,0,0,0,0,0,0,0
0886P,0,0,0,0,0,0,0
2366Y,0,0,0,0,0,0,0
1772C,0,0,0,0,0,0,0
0319Y,0,0,0,0,0,0,0
0219P,0,0,0,0,0,0,0
1615G,0,1,0,0,0,0,0
2286L,0,0,0,0,0,0,0
